Size,Time,Battery,RAM,DownloadBandwidth,UploadBandwidth,NetworkType
0,358182,41939,0,3.7758976,101.907125,96.81175,WiFi
1,354373,41240,0,3.763093504,101.907125,96.81175,WiFi
2,355125,40738,0,3.761799168,101.907125,96.81175,WiFi
3,363169,38695,0,3.801739264,101.907125,96.81175,WiFi
4,353506,38075,0,3.791593472,101.907125,96.81175,WiFi
5,345795,39100,0,3.804602368,101.907125,96.81175,WiFi
6,347559,37978,1,3.808342016,101.907125,96.81175,WiFi
7,349224,42274,0,3.8068224,101.907125,96.81175,WiFi
8,361149,39101,0,3.872407552,101.907125,96.81175,WiFi
9,355576,44016,0,3.848503296,101.907125,96.81175,WiFi
10,421230,51203,0,4.113170432,101.907125,96.81175,WiFi
11,432277,47183,0,4.113620992,101.907125,96.81175,WiFi
12,420845,49343,0,4.125028352,101.907125,96.81175,WiFi
13,422489,45754,0,4.113842176,101.907125,96.81175,WiFi
14,420513,47190,0,4.125687808,101.907125,96.81175,WiFi
15,416186,44013,0,4.099588096,101.907125,96.81175,WiFi
16,420584,49038,0,4.12235776,101.907125,96.81175,WiFi
17,427859,45585,0,4.113645568,101.907125,96.81175,WiFi
18,422252,44586,0,4.08877056,101.907125,96.81175,WiFi
19,427647,50276,0,4.055773184,101.907125,96.81175,WiFi
20,503303,50851,0,4.124008448,101.907125,96.81175,WiFi
21,496994,54345,0,3.995004928,101.907125,96.81175,WiFi
22,497153,51691,0,4.002557952,101.907125,96.81175,WiFi
23,490232,55603,0,4.336734208,101.907125,96.81175,WiFi
24,497981,56303,0,3.906093056,101.907125,96.81175,WiFi
25,492946,55894,0,3.919904768,101.907125,96.81175,WiFi
26,486756,56818,0,3.909357568,101.907125,96.81175,WiFi
27,503597,58558,0,3.924467712,101.907125,96.81175,WiFi
28,486322,59086,0,3.914604544,101.907125,96.81175,WiFi
29,507320,56393,1,3.90412288,101.907125,96.81175,WiFi
30,568986,64517,0,4.012048384,101.907125,96.81175,WiFi
31,557012,61751,0,3.998633984,101.907125,96.81175,WiFi
32,569711,66014,0,4.01586176,101.907125,96.81175,WiFi
33,558647,64000,0,3.995549696,101.907125,96.81175,WiFi
34,569274,68800,0,3.964276736,101.907125,96.81175,WiFi
35,567912,65726,0,3.940323328,101.907125,96.81175,WiFi
